id,X_grid,Y_grid,N_count,V_mean,V_sigma,h1,h2,h3,h4,v0_cell,s_cell,nonempty
220,0.20000029,-0.63333327,633.0,-13.882133,62.355328,-0.0902991,0.048452776,-0.044469677,0.099414974,-8.414129,60.55433,True
221,0.6000004,-0.63333327,608.0,-34.291687,64.24542,-0.024017798,0.14409114,-0.08981658,0.0561435,-32.884956,58.569767,True
222,1.0,-0.63333327,517.0,-59.908028,57.51306,0.09533653,0.0023881248,-0.006302411,-0.019922463,-65.40686,57.677982,True
223,1.4000001,-0.63333327,503.0,-64.399,56.928123,-0.037082016,0.090014294,-0.0066719214,0.019846981,-62.409557,53.650276,True
224,1.8000002,-0.63333327,428.0,-85.21968,55.66122,0.11228126,0.10780077,-0.03463632,0.06840787,-91.07347,52.13499,True
225,2.2000003,-0.63333327,371.0,-99.601616,51.347534,-0.015601891,-0.01330635,0.027351784,0.0011775465,-98.79276,51.844105,True
226,2.6000004,-0.63333327,345.0,-118.40136,47.4749,-0.038134594,0.029389082,-0.003258127,-0.10436689,-116.62612,46.55062,True
227,3.0,-0.63333327,312.0,-122.85172,47.662437,-0.051589098,-0.054667626,0.09089877,-0.05166283,-120.288216,49.69074,True
228,3.4,-0.63333327,247.0,-137.11507,43.798367,-0.14090638,0.03436317,0.09850707,-0.091491744,-131.03035,43.182316,True
229,3.8000002,-0.63333327,231.0,-146.36751,39.938797,0.101895384,-0.07472055,0.031919252,0.046096202,-150.696,42.479565,True
230,4.2000003,-0.63333327,172.0,-153.01703,38.944447,0.09650959,-0.0116428565,0.08298327,-0.068136215,-156.82497,39.45614,True
231,4.6000004,-0.63333327,148.0,-163.98375,36.07766,0.16154933,0.003214793,0.012055251,-0.09620538,-169.87592,36.472767,True
232,5.0,-0.63333327,118.0,-167.76228,32.764877,0.017921982,0.061040353,-0.04905476,-0.12721016,-168.32574,31.44088,True
233,5.4,-0.63333327,95.0,-168.42711,37.44856,-0.093252584,0.15678602,0.13460502,-0.018876465,-165.25636,34.001545,True
234,5.8,-0.63333327,90.0,-173.5289,31.80025,0.07528837,0.5411453,0.22783655,-0.0053635887,-175.33376,23.973063,True
235,6.2000003,-0.63333327,55.0,-183.00262,27.13184,0.10964949,0.041408267,0.033255514,-0.17221986,-185.91072,26.521536,True
236,6.6000004,-0.63333327,70.0,-188.44977,29.44672,-0.020512503,0.16181727,0.13134602,-0.15147877,-187.90483,26.567986,True
237,7.0,-0.63333327,54.0,-192.64972,22.797169,0.238959,0.10740973,0.07743219,-0.2125294,-197.85611,21.787813,True
238,7.4,-0.63333327,0.0,0.0,0.0,0.032768242,-0.17984423,0.110418156,-0.04752584,-187.71027,35.075893,False
239,7.8,-0.63333327,0.0,0.0,0.0,-0.060451668,-0.216132,0.14653705,0.03931952,-195.4345,26.986763,False
240,-7.8,-0.5666666,0.0,0.0,0.0,-0.40600944,0.10983873,-0.2909201,0.094561026,210.25372,26.524673,False
241,-7.4,-0.5666666,54.0,196.8739,26.311312,0.18303545,-0.20779923,-0.1437473,-0.0716837,191.00177,32.081833,True
242,-7.0,-0.5666666,78.0,193.46153,25.171444,0.22639175,0.038301624,-0.12671882,-0.08517871,187.77116,25.134975,True
243,-6.6,-0.5666666,96.0,185.63922,28.27854,-0.17573965,0.4802819,-0.4359982,0.058290493,189.51006,22.025806,True
244,-6.2,-0.5666666,112.0,183.36118,30.690237,-0.05203388,0.12588362,-0.3532538,0.08026052,184.83421,28.30865,True
245,-5.8,-0.5666666,141.0,181.07826,32.059456,0.12953219,0.0047980817,-0.22746201,0.032573737,176.90465,32.220764,True
246,-5.4,-0.5666666,141.0,174.57594,31.50062,-0.2784709,-0.017114444,-0.03712067,-0.04444605,183.83145,33.236916,True
247,-5.0,-0.5666666,183.0,169.0437,35.624947,0.07363381,-0.09044621,-0.0538969,-0.07428558,166.22597,38.26714,True
248,-4.6,-0.5666666,217.0,162.17168,34.525917,-0.101200506,-0.073094055,0.04353103,-0.055478808,165.8829,36.671715,True
249,-4.2,-0.5666666,279.0,154.02406,39.51523,0.14496323,-0.12300191,-0.060200613,-0.063434355,147.63977,44.04089,True
250,-3.8000002,-0.5666666,272.0,145.43544,47.335426,0.020647282,0.028709844,-0.19448708,0.07809728,144.47716,46.412155,True
251,-3.4,-0.5666666,356.0,134.48695,42.266224,0.1665219,0.024002546,-0.012260649,0.039202183,127.470535,42.13533,True
252,-2.9999995,-0.5666666,408.0,122.93791,44.74404,0.14393674,-0.10775963,-0.10152402,0.08785511,115.855415,49.20541,True
253,-2.5999997,-0.5666666,443.0,115.433105,48.748398,0.06479628,0.031129241,-0.002920585,-0.038692493,112.33551,47.805695,True
254,-2.1999998,-0.5666666,478.0,100.99211,50.93812,0.08139702,-0.10207166,-0.099090494,0.0536482,96.4923,55.28195,True
255,-1.8000001,-0.5666666,635.0,83.33615,55.070507,-0.045498956,-0.08941791,0.03696467,0.023688365,86.020226,58.991917,True
256,-1.4,-0.5666666,702.0,73.41855,54.606796,-0.019033348,-0.12129779,0.008797949,-0.0005836632,74.560684,60.00758,True
257,-0.99999964,-0.5666666,800.0,54.715454,57.81563,-0.17438665,-0.022349084,0.01845272,-0.031733017,65.1257,59.696342,True
258,-0.59999967,-0.5666666,831.0,33.414616,59.67197,0.043603722,-0.037798982,0.008065361,0.018375486,30.737541,61.395515,True
259,-0.19999993,-0.5666666,875.0,10.935295,61.217968,0.03970617,-0.020859951,-0.030033937,0.024747942,8.465889,62.191944,True
260,0.20000029,-0.5666666,860.0,-11.199274,63.979637,-0.07733214,0.045258973,-0.06801231,0.070569076,-6.389172,62.20049,True
261,0.6000004,-0.5666666,801.0,-32.539677,60.20435,-0.005078003,-0.06777407,-0.03036572,0.037413575,-32.21817,63.315937,True
262,1.0,-0.5666666,725.0,-56.622715,59.890007,-0.009841219,-0.064096086,0.018389883,0.04132236,-56.00463,62.80741,True
263,1.4000001,-0.5666666,733.0,-68.98679,56.69593,0.102740236,0.28798,0.09848533,0.2128511,-73.91556,47.973267,True
264,1.8000002,-0.5666666,613.0,-87.99952,53.342236,-0.12635054,-0.12089811,0.0147132715,-0.028548054,-80.524994,59.157433,True
265,2.2000003,-0.5666666,529.0,-102.87979,49.70115,-0.054764118,0.1117533,0.027772412,-0.010067058,-100.34719,46.245316,True
266,2.6000004,-0.5666666,474.0,-113.50317,50.85364,-0.16488527,-0.004741141,0.03895285,-0.031216953,-104.97233,51.737965,True
267,3.0,-0.5666666,411.0,-124.522514,45.114407,-0.03770507,-0.07276809,-0.045136802,-0.04212585,-122.72511,47.66968,True
268,3.4,-0.5666666,344.0,-135.34604,44.64003,0.09414739,0.11183321,0.05988238,-0.020697437,-139.26637,41.639793,True
269,3.8000002,-0.5666666,299.0,-140.87192,43.775864,0.051146872,0.06296714,-0.03028996,-0.092859484,-143.01997,41.998505,True
270,4.2000003,-0.5666666,246.0,-151.49068,39.575382,-0.06359413,0.14116944,0.09493181,-0.05145137,-149.18903,36.19353,True
271,4.6000004,-0.5666666,227.0,-164.67084,35.435627,-0.045111887,-0.12819584,0.06767838,-0.03127579,-162.9019,39.211884,True
272,5.0,-0.5666666,182.0,-171.64,32.241066,-0.38813287,0.8186174,-0.4093135,0.2694409,-162.80693,22.757841,True
273,5.4,-0.5666666,131.0,-176.23576,27.911655,0.08502237,0.49735534,0.31916225,0.37111712,-178.05792,21.431587,True
274,5.8,-0.5666666,126.0,-177.2225,32.025562,0.076868325,0.027343275,0.18151242,-0.045603108,-179.64488,31.513773,True
275,6.2000003,-0.5666666,104.0,-187.02736,26.845695,0.06051811,0.10145371,0.16901313,0.08075148,-188.54913,25.145071,True
276,6.6000004,-0.5666666,96.0,-184.96985,28.36846,-0.011734405,-0.107690215,0.12719077,0.036473814,-184.60825,30.814104,True
277,7.0,-0.5666666,57.0,-196.46425,31.236622,-0.1678698,0.27370298,0.6544341,0.25529018,-191.96599,26.796015,True
278,7.4,-0.5666666,60.0,-193.67001,23.134457,0.13451572,0.14022788,0.12991093,0.023164416,-196.53455,21.294958,True
279,7.8,-0.5666666,0.0,0.0,0.0,-0.12933102,-0.19885696,0.26804975,0.0993996,-198.0106,26.345394,False
280,-7.8,-0.5,77.0,195.61223,24.794231,-0.102609985,0.0547013,-0.30872038,0.11159272,198.07538,24.004793,True
