id,R_grid,z_grid,phi_grid,N_count
320,0.5,-0.24999997,2.6179938,3842.0
321,1.5,-0.24999997,2.6179938,8413.0
322,2.5,-0.24999997,2.6179938,10065.0
323,3.5,-0.24999997,2.6179938,9889.0
324,4.5,-0.24999997,2.6179938,9103.0
325,5.5,-0.24999997,2.6179938,7603.0
326,6.5,-0.24999997,2.6179938,6191.0
327,7.5,-0.24999997,2.6179938,4853.0
328,8.5,-0.24999997,2.6179938,3764.0
329,9.5,-0.24999997,2.6179938,2873.0
330,0.5,0.25,2.6179938,3810.0
331,1.5,0.25,2.6179938,8424.0
332,2.5,0.25,2.6179938,10188.0
333,3.5,0.25,2.6179938,9967.0
334,4.5,0.25,2.6179938,8982.0
335,5.5,0.25,2.6179938,7649.0
336,6.5,0.25,2.6179938,6042.0
337,7.5,0.25,2.6179938,4825.0
338,8.5,0.25,2.6179938,3782.0
339,9.5,0.25,2.6179938,2891.0
340,0.5,0.75,2.6179938,645.0
341,1.5,0.75,2.6179938,1570.0
342,2.5,0.75,2.6179938,1705.0
343,3.5,0.75,2.6179938,1499.0
344,4.5,0.75,2.6179938,1152.0
345,5.5,0.75,2.6179938,853.0
346,6.5,0.75,2.6179938,510.0
347,7.5,0.75,2.6179938,339.0
348,8.5,0.75,2.6179938,208.0
349,9.5,0.75,2.6179938,117.0
350,0.5,1.25,2.6179938,37.0
351,1.5,1.25,2.6179938,81.0
352,2.5,1.25,2.6179938,94.0
353,3.5,1.25,2.6179938,59.0
354,4.5,1.25,2.6179938,38.0
355,5.5,1.25,2.6179938,14.0
356,6.5,1.25,2.6179938,4.0
357,7.5,1.25,2.6179938,5.0
358,8.5,1.25,2.6179938,1.0
359,9.5,1.25,2.6179938,1.0
