id,R_grid,z_grid,phi_grid,mass
263,3.5,-0.49999994,1.5707965,296404640.0
264,4.5,-0.49999994,1.5707965,284644640.0
265,5.5,-0.49999994,1.5707965,253732660.0
266,6.5,-0.49999994,1.5707965,218896660.0
267,7.5,-0.49999994,1.5707965,183424660.0
268,8.5,-0.49999994,1.5707965,149184660.0
269,9.5,-0.49999994,1.5707965,121496660.0
270,0.5,0.5,1.5707965,95680660.0
271,1.5,0.5,1.5707965,228560660.0
272,2.5,0.5,1.5707965,285332640.0
273,3.5,0.5,1.5707965,298084640.0
274,4.5,0.5,1.5707965,284256640.0
275,5.5,0.5,1.5707965,255468660.0
276,6.5,0.5,1.5707965,218760660.0
277,7.5,0.5,1.5707965,183652660.0
278,8.5,0.5,1.5707965,148656660.0
279,9.5,0.5,1.5707965,120216660.0
280,0.5,1.5,1.5707965,26180656.0
281,1.5,1.5,1.5707965,62968656.0
282,2.5,1.5,1.5707965,80460660.0
283,3.5,1.5,1.5707965,84060660.0
284,4.5,1.5,1.5707965,79920660.0
285,5.5,1.5,1.5707965,71168660.0
286,6.5,1.5,1.5707965,61088656.0
287,7.5,1.5,1.5707965,49136656.0
288,8.5,1.5,1.5707965,40408656.0
289,9.5,1.5,1.5707965,32200656.0
290,0.5,2.5,1.5707965,5315139.0
291,1.5,2.5,1.5707965,11258037.0
292,2.5,2.5,1.5707965,13421496.0
293,3.5,2.5,1.5707965,13605450.0
294,4.5,2.5,1.5707965,12129819.0
295,5.5,2.5,1.5707965,10326270.0
296,6.5,2.5,1.5707965,8014801.5
297,7.5,2.5,1.5707965,6023050.5
298,8.5,2.5,1.5707965,4539236.0
299,9.5,2.5,1.5707965,3147475.2
300,0.5,-2.5,2.6179938,4971182.0
301,1.5,-2.5,2.6179938,11014098.0
302,2.5,-2.5,2.6179938,13413498.0
303,3.5,-2.5,2.6179938,13765410.0
304,4.5,-2.5,2.6179938,12085830.0
305,5.5,-2.5,2.6179938,10258287.0
306,6.5,-2.5,2.6179938,7810827.0
307,7.5,-2.5,2.6179938,5979056.0
308,8.5,-2.5,2.6179938,4627225.0
309,9.5,-2.5,2.6179938,3387430.2
310,0.5,-1.5,2.6179938,26544656.0
311,1.5,-1.5,2.6179938,63252656.0
312,2.5,-1.5,2.6179938,79400660.0
313,3.5,-1.5,2.6179938,83964660.0
